Instance,Income
112162,104560.1328
112163,58817.72266
112164,11909.35938
112165,319046.6563
112166,26156.68945
112167,34818.37109
112168,52573.89844
112169,412744.8125
112170,210241.4219
112171,52317.75
112172,16887.39258
112173,104841.9922
112174,28387.62695
112175,37874.26563
112176,27959.70703
112177,100322.8047
112178,28911.20313
112179,24480.28516
112180,50083.03906
112181,5761.472656
112182,367600.4375
112183,79270.11719
112184,18324.72266
112185,275001.8438
112186,2504.17334
112187,135739
112188,103204.6719
112189,82364.47656
112190,49874.51953
112191,170120.3906
112192,329477.25
112193,45305.56641
112194,189448.0313
112195,32290.47852
112196,20139.65039
112197,187700.4219
112198,16015.06543
112199,29565.09961
112200,60808.80469
112201,346171.3438
112202,214127.7813
112203,50788.39844
112204,27681.91992
112205,37178.84766
112206,109852.7813
112207,273501.4063
112208,83053.47656
112209,369592.625
112210,56649.17188
112211,259739.4219
112212,79926.39844
112213,29080.85547
112214,231849.7656
112215,17867.95313
112216,86173.53125
112217,30068.08789
112218,55683.72266
112219,301235
112220,-5016.745117
112221,4839.365723
112222,36860.79297
112223,54279.08203
112224,179359.9688
112225,3779.859375
112226,52543.43359
112227,77191.07031
112228,223729
112229,47241.49609
112230,221121.0625
112231,20150.23633
112232,155910.7656
112233,27780.07227
112234,63643.14453
112235,23515.2793
112236,90866.29688
112237,456830.2188
112238,44318.30859
112239,7643.219727
112240,9157.417969
112241,16971.07031
112242,68455.84375
112243,73825.1875
112244,209691.4531
112245,102594.7578
112246,45532.61719
112247,487066.5313
112248,133752.8125
112249,15153.5918
112250,42945.76953
112251,39101.81641
112252,46245.00391
112253,65452.64453
112254,206293
112255,73749.33594
112256,32783.28906
112257,24029
112258,376385.75
112259,150066.4063
112260,126315.6172
112261,362417.5625
112262,66951.52344
112263,35735.91406
112264,85713.36719
112265,16673.30273
112266,38937.46484
112267,40490.3125
112268,36228.03516
112269,511512.0938
112270,20645.59375
112271,110341.8203
112272,108281.4766
112273,184209.1406
112274,4258.330566
112275,119777.3203
112276,187667.7031
112277,77051.49219
112278,44248.42188
112279,19872.31445
112280,123594.5469
112281,69217.3125
112282,294327.625
112283,88680.42188
112284,75673.03125
112285,71182.61719
112286,82895.82031
112287,30415.41016
112288,77906.89063
112289,235519.8125
112290,211364.4531
112291,29469.2793
112292,369272.8125
112293,21193.32813
112294,313467.5625
112295,16662.50781
112296,312959.0313
112297,42489.34766
112298,63619.51563
112299,36498.6875
112300,12011.93066
112301,29831.51172
112302,18164.96289
112303,42286.64453
112304,220031.7031
112305,31781.58789
112306,71990.21094
112307,-5995.592285
112308,111890.3594
112309,33356.22656
112310,33350.92578
112311,93205.72656
112312,53869.92188
112313,98833.30469
112314,21546.45313
112315,154304.875
112316,40300.82813
112317,27755.91992
112318,37960.91016
112319,24248.94336
112320,744751.25
112321,50399.76953
112322,11399.3291
112323,103560.1094
112324,373815.8438
112325,196241.6563
112326,131808.9688
112327,307838.5313
112328,107829.25
112329,225204.0781
112330,446858.125
112331,314571.2813
112332,243649.7188
112333,263471.9375
112334,165076.5781
112335,61677.64453
112336,27593.69336
112337,313127.4063
112338,226236.5625
112339,248686.8594
112340,47648.73047
112341,446225.9375
112342,11995.61523
112343,105675.4922
112344,37286.83984
112345,27601.79492
112346,48901.85156
112347,18546.59375
112348,20628.70703
112349,20209.49805
112350,139194.3594
112351,64632.48438
112352,20801.30859
112353,25510.33008
112354,155684.3594
112355,61528.19531
112356,67796.5625
112357,79587.19531
112358,93847.33594
112359,37202.17578
112360,23974.30859
112361,179443.875
112362,44424.06641
112363,64863.84766
112364,18377.93945
112365,6315.724121
112366,-1556.821777
112367,15181.94434
112368,48452.55859
112369,249879.3906
112370,37033.5
112371,371432.8438
112372,110290.3672
112373,42632.99609
112374,-2693.095215
112375,24174.76758
112376,87822.84375
112377,101341.7891
112378,67637.80469
112379,75378.64844
112380,64209.49609
112381,100245.3125
112382,165922.1406
112383,27837.53516
112384,208020.7813
112385,4243.919434
112386,217321.3438
112387,58128.57031
112388,35536.12891
112389,52062.58203
112390,16452.69336
112391,28029.2207
112392,137090.5938
112393,67899.75
112394,56511.05078
112395,9800.700195
112396,197146.1719
112397,76531.64844
112398,566985.5625
112399,114159.1641
112400,101957.3672
112401,144243.9375
112402,794630.1875
112403,123355.9766
112404,94490.76563
112405,81548.64844
112406,27656.86133
112407,8995.521484
112408,13531.82031
112409,42055.875
112410,27029.29297
112411,128927.1953
112412,167586.2969
112413,21256.86523
112414,107400.1328
112415,148823.5938
112416,56836.53516
112417,98200.25781
112418,91638.04688
112419,165029.5156
112420,50719.41797
112421,269558.8125
112422,129753.5469
112423,58691.65234
112424,26122.19922
112425,81054.17969
112426,85866.14844
112427,304483.0313
112428,132030.3906
112429,25481.55273
112430,24561.14648
112431,204978.4688
112432,35167.07031
112433,81036.60938
112434,75935.82031
112435,94411.64063
112436,46792.30078
112437,69637.09375
112438,37291.57813
112439,-126.3618393
112440,222674.8906
112441,65564.70313
112442,296466.6875
112443,33463.4375
112444,26371.14453
112445,73321.0625
112446,429141.6875
112447,675077.4375
112448,81468.50781
112449,97104.78125
112450,60859.65625
112451,115458.1719
112452,18858.37891
112453,21543.15625
112454,172164.2969
112455,619708.4375
112456,43135.53906
112457,152932.5625
112458,160552.5
112459,56310.57813
112460,61017.30469
112461,370731.2188
112462,112273.3828
112463,84836.94531
112464,67644.5
112465,218740.5938
112466,185599.5
112467,36876.57813
112468,44902.08984
112469,74157.04688
112470,56356.26172
112471,39944.23438
112472,204044.7813
112473,77307.89063
112474,13279.4873
112475,46931.37891
112476,71915.875
112477,49785.04688
112478,85997
112479,5635.317383
112480,54731.48828
112481,158577.8125
112482,68957.32031
112483,291162.5625
112484,49652.96875
112485,166181.0938
112486,18713.5625
112487,38669.66406
112488,104052.2656
112489,51183.83594
112490,268521.3438
112491,52473.91406
112492,86013.48438
112493,393564.8125
112494,21623.68945
112495,5148.827148
112496,25741.83984
112497,245322.0781
112498,7230.967285
112499,80748.9375
112500,2017.793945
112501,56077.54297
112502,70446.82031
112503,60521.52344
112504,46194.48438
112505,21302.00391
112506,46059.11719
112507,112367.3359
112508,55954.03516
112509,29800.01367
112510,41355.51953
112511,123769.3125
112512,30351.66211
112513,75738.33594
112514,19208.57813
112515,76359.125
112516,91363.69531
112517,8949.371094
112518,47761.86719
112519,22379.45898
112520,41570.60547
112521,271561.5938
112522,46508.75391
112523,56116.92188
112524,86901.04688
112525,19111.10156
112526,9170.739258
112527,74057.78906
112528,23557.72656
112529,46976.03906
112530,98706.82813
112531,169577.9844
112532,183063.5
112533,102556.9844
112534,192887.1406
112535,90315.05469
112536,134049.4531
112537,43747.12891
112538,14984.36621
112539,231526.5
112540,18021.88477
112541,79515.9375
112542,198559.4844
112543,103519.9375
112544,311924.0313
112545,45518.35156
112546,32691.72656
112547,123374.1328
112548,450349.625
112549,100365.7734
112550,79828.46094
112551,19722.16602
112552,147292.2656
112553,29047.66406
112554,117941.4219
112555,25965.10742
112556,82269.92188
112557,56370.48828
112558,149065.6875
112559,43137.68359
112560,41200.65234
112561,215398.2656
112562,26566.24219
112563,159806.7031
112564,660365.375
112565,97349.71875
112566,24034.59961
112567,30741.40039
112568,-15940.00293
112569,111000.6563
112570,37696.625
112571,172709.2656
112572,118590.0078
112573,7612.349121
112574,57191.17188
112575,95581.53125
112576,55245.11719
112577,321547.8125
112578,519448.6875
112579,88665.89844
112580,120356.2656
112581,53435.25391
112582,19747.2832
112583,326.5483398
112584,153162
112585,31886.42969
112586,20522.71484
112587,160110.4375
112588,126258.8438
112589,163300.2344
112590,10577.49512
112591,192938.0625
112592,25756.79102
112593,22919.79883
112594,52399.27734
112595,47930.45703
112596,77173.40625
112597,57947.32422
112598,41547.69141
112599,2661.341064
112600,20961.71875
112601,136169.3281
112602,54628.98828
112603,80600.02344
112604,151529.1094
112605,57353.80469
112606,90678.36719
112607,80753.28125
112608,73095.32813
112609,160545.8906
112610,73480.5625
112611,164446.6094
112612,160073
112613,106482.1563
112614,141712.9531
112615,50123.87891
112616,103989.5156
112617,79014.45313
112618,346958.0938
112619,43575.15234
112620,55085.62891
112621,15003.83691
112622,77500.1875
112623,49713.06641
112624,25302.92578
112625,37399.42188
112626,111340.4453
112627,63313.41406
112628,52222.8125
112629,69375.67969
112630,90978.28125
112631,68580.88281
112632,200295.7188
112633,140375.5
112634,18124.52148
112635,49983.97656
112636,89630.27344
112637,265188
112638,13538.35449
112639,63852.89844
112640,20960.80469
112641,17538.89844
112642,269140.5938
112643,24873.50586
112644,117797.0234
112645,56703.21875
112646,125.2626953
112647,39129.40625
112648,66038.65625
112649,34024.89844
112650,15147.38477
112651,33224.39453
112652,7406.474121
112653,33995.80859
112654,43205.29688
112655,13376.13477
112656,16206.44336
112657,388716.8438
112658,433597.375
112659,73792.33594
112660,95067.53906
112661,169972.125
112662,155395.3438
112663,127426.7188
112664,208825.8438
112665,390852.625
112666,116995.2734
112667,16290.37793
112668,45381.57031
112669,174348.9844
112670,46273.89453
112671,239608.375
112672,146376.9063
112673,26071.66406
112674,24200.72266
112675,22102.66992
112676,52453.65234
112677,51307.50391
112678,5702.30957
112679,105176.7188
112680,113077.4219
112681,9714.896484
112682,119943.7422
112683,56164.30469
112684,470503.9688
112685,38081.8125
112686,30415.00586
112687,18842.94727
112688,29419.55469
112689,203460.4531
112690,11894.11719
112691,50979.09375
112692,47666.74219
112693,78343.67188
112694,42966.3125
112695,217413.375
112696,151290.7969
112697,117109.3984
112698,113288.6172
112699,304457.0313
112700,209139.3281
112701,398785.1563
112702,127325.0234
112703,31015.25781
112704,27178.68359
112705,239646.0156
112706,59789.33203
112707,42320.875
112708,161553.5313
112709,215853.9531
112710,49949.07031
112711,70524.94531
112712,21384.2207
112713,53618.32422
112714,77920.90625
112715,124744.2266
112716,33825.74609
112717,20930.2793
112718,68353.85938
112719,34402.875
112720,14407.25488
112721,48131.75
112722,49180.60547
112723,28955.04102
112724,63455.26563
112725,70371.25781
112726,-10150.09277
112727,90759.28906
112728,96657.32813
112729,69216.74219
112730,35926.40625
112731,54925.04688
112732,17616.99023
112733,66942.00781
112734,103668.8516
112735,12842.36621
112736,41871.4375
112737,126468.1641
112738,293712.2813
112739,20440.26563
112740,28389.41406
112741,16895.44141
112742,11491.18555
112743,19948
112744,102696.4453
112745,126491.3281
112746,39826.34766
112747,105977.1719
112748,365082.625
112749,58659.17578
112750,23736.52148
112751,330741.6875
112752,37042.19141
112753,17827.18359
112754,287233.7813
112755,39193.875
112756,63733.57813
112757,80872.76563
112758,4608.10498
112759,9194.386719
112760,64840.55859
112761,121987.3281
112762,368791.125
112763,24057.39258
112764,142952.875
112765,29260.91406
112766,73516.13281
112767,681422.375
112768,17529.31055
112769,143770.1875
112770,49693.34766
112771,104952.1094
112772,14893.88965
112773,86123.4375
112774,25214.79492
112775,46655.49609
112776,84726.375
112777,21495.56836
112778,465726.375
112779,248220.9688
112780,189078.0625
112781,117612.8047
112782,36917.50391
112783,47174.25
112784,76943.70313
112785,33469.41797
112786,102524.7734
112787,122049.8438
112788,7406.069824
112789,78841.07813
112790,209446.4375
112791,209385.4531
112792,9290.838867
112793,73400.05469
112794,720875.75
112795,69032.0625
112796,48008.64844
112797,76841.4375
112798,50851.90625
112799,92239.4375
112800,37599.29297
112801,23693.58203
112802,154171.8281
112803,452982.4688
112804,9972.525391
112805,67475.45313
112806,20512.48633
112807,29833.05078
112808,258341.3125
112809,32620.28125
112810,149449.7344
112811,140611.4531
112812,172014.7969
112813,208935.6875
112814,55202.83984
112815,41899.78906
112816,35846.15234
112817,63065.95313
112818,106201.6563
112819,54943.26953
112820,298408.6875
112821,12930.49219
112822,33621.67578
112823,34195.77734
112824,19926.47266
112825,32261.7168
112826,337865.5625
112827,59210.19922
112828,49241.14453
112829,26830.76953
112830,55502.81641
112831,81511.4375
112832,35282.92969
112833,87538.72656
112834,58552.33203
112835,133946.3125
112836,47019.21484
112837,108352.5391
112838,346737.9688
112839,78840.69531
112840,88121.29688
112841,125311.5
112842,248487.9063
112843,39729.91797
112844,40327.86328
112845,77910.625
112846,196656.7969
112847,53827.49609
112848,211758.5469
112849,103212.5234
112850,154512.7188
112851,142703.4844
112852,37439.84375
112853,234247.625
112854,52140.07422
112855,360694.4375
112856,35988.73438
112857,40064.02734
112858,52484.85938
112859,201128.2656
112860,21506.54883
112861,206409.7031
112862,24092.85742
112863,72264.16406
112864,215597.6719
112865,3248.244873
112866,258669.7656
112867,-7195.630371
112868,24325.13281
112869,89041.11719
112870,95571.28125
112871,204084.2656
112872,39390.51563
112873,174436.7813
112874,65958
112875,88665.11719
112876,247140.1094
112877,74279.04688
112878,354918.625
112879,326448.8438
112880,41957.27344
112881,41320.21094
112882,407782.25
112883,42526.53906
112884,20178.95313
112885,51645.20703
112886,61282.46484
112887,20579.23633
112888,121902.8125
112889,63423.94922
112890,146441.6406
112891,91880.03125
112892,69549.28125
112893,35964.94141
112894,213436.4375
112895,21996.11719
112896,6121.111328
112897,-15609.02246
112898,149578.875
112899,19803.91406
112900,46055.32422
112901,87676.85938
112902,15869.4668
112903,181010.5625
112904,138151.5938
112905,62428.30078
112906,69282.67188
112907,-2152.32373
112908,10327.14844
112909,455322.0625
112910,153846.7656
112911,49227.22656
112912,16435.19922
112913,93354.35156
112914,24138.07031
112915,217430.7969
112916,247722.8594
112917,93685.00781
112918,74827.48438
112919,52970.15234
112920,44381.84766
112921,11957.59473
112922,225065.1406
112923,115724.3359
112924,66833.34375
112925,204675.7031
112926,8969.363281
112927,1305.703003
112928,44304.99219
112929,78252.29688
112930,599916.5
112931,77392.07813
112932,180674.7813
112933,24892.0918
112934,72505.76563
112935,86367.92188
112936,178001.9219
112937,380757.625
112938,46691.80469
112939,19629.77148
112940,34184.28906
112941,384097.2813
112942,23760.91406
112943,272972.8438
112944,38632.40234
112945,73053.3125
112946,44038.58203
112947,36538.88281
112948,49864.45703
112949,57180.80078
112950,145940.6406
112951,55782.48828
112952,20881.36328
112953,38454.92188
112954,89164.78906
112955,30714.45898
112956,18544.52344
112957,12927.65039
112958,599844.625
112959,53573.95313
112960,22067.27148
112961,233750.9844
112962,116280.6875
112963,100964.4688
112964,27134.64844
112965,66433.75
112966,474584.125
112967,39022.10156
112968,22914.98242
112969,81078.45313
112970,11458.51855
112971,64208.12109
112972,136897.7188
112973,40705.63281
112974,69353.98438
112975,52830.84766
112976,36110.45313
112977,10272.36816
112978,83758.85938
112979,224432.9844
112980,624822.125
112981,67023.0625
112982,24810.7832
112983,109769.6563
112984,24475.69531
112985,-2741.088623
112986,24598.86719
112987,20518.91211
112988,8457.398438
112989,71158.26563
112990,55619.78125
112991,34171.94531
112992,16833.43945
112993,109245.6328
112994,16893.71484
112995,171540.4063
112996,18864.16016
112997,394341.2813
112998,67061.1875
112999,40215.63281
113000,17822.53516
113001,41510.27344
113002,30546.07813
113003,57230.16016
113004,110668.4453
113005,21968.47461
113006,45799.91797
113007,17095.99219
113008,9554.380859
113009,21263.84766
113010,50443.65234
113011,25392.36719
113012,25565.35352
113013,84534.86719
113014,65395.83594
113015,137184.5156
113016,438733.1563
113017,78457.00781
113018,84400.125
113019,125022.1172
113020,45039.76563
113021,62533.16406
113022,85399.8125
113023,42328.53906
113024,57465.24609
113025,23018.23047
113026,10605.18945
113027,60032.09766
113028,26005.10742
113029,120392.8125
113030,153325.3438
113031,46287.69141
113032,16464.04492
113033,119132.3359
113034,44151.27344
113035,43553.77344
113036,172079.8281
113037,102919.2188
113038,99432.35156
113039,83842.21094
113040,35329.96875
113041,18953.58008
113042,220266.6094
113043,20348.04688
113044,263912.75
113045,423126.2813
113046,40300.69141
113047,34885.53906
113048,29681.125
113049,146957.3125
113050,99856.74219
113051,78102.10938
113052,-138.8884888
113053,96318.57813
113054,47496.30469
113055,37114.57813
113056,92948.32813
113057,32797.98438
113058,41869.09375
113059,75030.71875
113060,54277.94922
113061,121779.9531
113062,35976.03516
113063,253997.8281
113064,66439.50781
113065,46843.38281
113066,10258.33496
113067,84015.33594
113068,109241.1719
113069,-4392.438965
113070,102680.4297
113071,127702.4922
113072,36350.28125
113073,277455.4688
113074,145122.0781
113075,37986.67969
113076,98617.39063
113077,30759.10156
113078,40677.79688
113079,47194.37109
113080,52444.22266
113081,127416.3438
113082,39953.26172
113083,64795.18359
113084,80958.77344
113085,12887.97461
113086,180283.6094
113087,639665.0625
113088,35562.82031
113089,218563.0938
113090,33554.33203
113091,44608.8125
113092,133602.3906
113093,43594.88281
113094,158998.4375
113095,183228.8281
113096,32939.69141
113097,103215.2266
113098,191192.6406
113099,14112.17969
113100,42566.13281
113101,254334.9688
113102,242889.6875
113103,46737.35156
113104,20972.12891
113105,-1829.282104
113106,155881.3906
113107,87210.52344
113108,136851.8125
113109,17439.77344
113110,76888.50781
113111,87323.9375
113112,129902.7188
113113,114555.1563
113114,21960.81445
113115,67659.46094
113116,84686.32813
113117,254481
113118,7558.235352
113119,276637.0625
113120,109603.6875
113121,21406.52148
113122,125451.3359
113123,358528.5625
113124,26476.91602
113125,183479.9219
113126,111785.7656
113127,126215.3438
113128,83986.29688
113129,114087.5859
113130,70644.05469
113131,38425.82813
113132,113778.7656
113133,73952.30469
113134,282982.8125
113135,72873.875
113136,82113.32813
113137,18208.33789
113138,85589.01563
113139,109872.7656
113140,134917.2188
113141,77549.3125
113142,18282.25391
113143,47314.34766
113144,182930.6094
113145,115091.8516
113146,77162.51563
113147,17040.56836
113148,184644.625
113149,56208.04297
113150,24230.26367
113151,34178.65234
113152,117973.3594
113153,331557.0938
113154,98814.64844
113155,64948.82422
113156,510246.2188
113157,114438.1719
113158,20439.85352
113159,191537.1406
113160,57001.46484
113161,185084.7031
113162,61439.79297
113163,22040.70508
113164,71367.0625
113165,225286.7656
113166,19231.27734
113167,115214.8516
113168,42493.58594
113169,56563.24219
113170,163853.1094
113171,70671.94531
113172,81246.64844
113173,10351.87695
113174,131799.25
113175,113784.6563
113176,118759.1719
113177,115763.1484
113178,26685.71289
113179,4937.90625
113180,40288.47266
113181,56794.35938
113182,27365.11523
113183,19052.85742
113184,60657.35156
113185,124175.7266
113186,113699.0859
113187,165127.8281
113188,25164.75195
113189,139052.7188
113190,11726.50879
113191,34353.71875
113192,25834.44727
113193,112256.9766
113194,68864.53125
113195,237192.75
113196,53548.03516
113197,516100.9063
113198,156559.8906
113199,68064.79688
113200,42581.37891
113201,16433.38477
113202,16431.55664
113203,21751.35938
113204,135484.0781
113205,731601.125
113206,89204.26563
113207,14827.33594
113208,182482.8438
113209,77912.71875
113210,92006.35156
113211,39816.25781
113212,75204.66406
113213,64403.53906
113214,37248.9375
113215,68146.32031
113216,149691.3594
113217,11494.31738
113218,63903.05469
113219,7523.762695
113220,90535.36719
113221,5237.299805
113222,42133.87891
113223,167510.1094
113224,29721.03711
113225,71960.73438
113226,31871.12891
113227,47553.94531
113228,42165.56641
113229,4783.713379
113230,39000.01953
113231,38453.51563
113232,271451.625
113233,54274.22266
113234,38366.56641
113235,378853.0938
113236,54258.9375
113237,220017.1406
113238,71427.69531
113239,33632.26953
113240,78588.76563
113241,101884.2344
113242,80345.04688
113243,78347.60156
113244,34302.32031
113245,83297.55469
113246,73507.35938
113247,83038.17969
113248,74641.32031
113249,95740.64844
113250,355769.4688
113251,83702.71875
113252,38663.17578
113253,22827.66211
113254,76429.46094
113255,199301.4219
113256,13372.31348
113257,119540.1797
113258,56087.34375
113259,19132.68164
113260,84901.39844
113261,24433.28516
113262,67912.32813
113263,651344.625
113264,24356.75781
113265,64580.74609
113266,98519.26563
113267,69430.71094
113268,189011.8281
113269,37798.41797
113270,26066.59766
113271,241442.5469
113272,43398.98828
113273,42545.83984
113274,289960.75
113275,99698.59375
113276,21733.20313
113277,5119.383301
113278,410343.3125
113279,80063.75
113280,93952.33594
113281,163828.7031
113282,38489.45313
113283,120835.2266
113284,416254.0938
113285,25825.70117
113286,54440.35938
113287,161701.2969
113288,81994.91406
113289,81142.13281
113290,49200.69922
113291,43737.88281
113292,312500.3438
113293,6300.649414
113294,39769.54688
113295,404552.9688
113296,49084.01953
113297,22517.89648
113298,49414.16797
113299,57137.08594
113300,44154.52734
113301,25290.06055
113302,133043.6563
113303,58492.875
113304,153146.6094
113305,85069.26563
113306,31756.26953
113307,192924.4219
113308,57157.32031
113309,70967.35156
113310,8714.321289
113311,106998.1328
113312,26864.4082
113313,175011.9219
113314,47196.63281
113315,88773.5
113316,40801.79688
113317,263810.875
113318,23432.78711
113319,30806.78906
113320,80680.26563
113321,24163.10938
113322,29530.12891
113323,50324.77344
113324,6828.21875
113325,29941.56055
113326,27989.52734
113327,79206.48438
113328,84219.42969
113329,268212.0938
113330,172247.0938
113331,13094.88379
113332,47359.19141
113333,180225.4063
113334,31838.23242
113335,28240.28906
113336,116249.1641
113337,9763.714844
113338,102026.0078
113339,38282.58984
113340,79793.15625
113341,168928.1406
113342,32666.21484
113343,34697.42578
113344,68648.21875
113345,7884.502441
113346,45650.41016
113347,86016.82031
113348,80739.35156
113349,40127.61719
113350,52040.07422
113351,220348.0625
113352,51358.26172
113353,111243.7031
113354,37827.48438
113355,168568.8906
113356,85467
113357,10125.91113
113358,93560.98438
113359,-3068.097656
113360,195699.3594
113361,159926.0625
113362,223336.1875
113363,62670.25
113364,25291.01758
113365,71333.83594
113366,40947.64844
113367,96212.19531
113368,31134.10547
113369,90355.44531
113370,9916.364258
113371,96689.41406
113372,48045.98828
113373,92866.49219
113374,216353.4688
113375,95881.99219
113376,85687.21875
113377,64155.65234
113378,157243.4688
113379,196891.625
113380,24187.41797
113381,127813.2344
113382,281260.4375
113383,13757.34668
113384,195375.4219
113385,270960.1875
113386,24821.91211
113387,195866.2031
113388,48972.10547
113389,35325.50781
113390,112228.9609
113391,25120.47852
113392,25527.09375
113393,53018.18359
113394,28509.75781
113395,45192.18359
113396,15670.23633
113397,13585.94824
113398,20021.87891
113399,75675.26563
113400,419876.6563
113401,29265.85742
113402,307402.7813
113403,177744.0781
113404,22561.36523
113405,59585.16797
113406,33327.36719
113407,188673.0781
113408,134875.6875
113409,77415.82813
113410,-1197.310913
113411,73337.45313
113412,43949.37891
113413,450545.2188
113414,58735.07422
113415,23003.54492
113416,61963.08984
113417,544331.625
113418,287457.2188
113419,68427.14844
113420,19524.94141
113421,49621.41016
113422,147640.5938
113423,53599.22656
113424,60413.89844
113425,40172.23438
113426,125585.5156
113427,106010.5234
113428,227463.9063
113429,133657.1563
113430,165107.625
113431,208455.4688
113432,33455.78906
113433,51266.73828
113434,33165.99219
113435,17288.74023
113436,101866.9453
113437,55551.05078
113438,55091.85938
113439,104014.6875
113440,142740.8438
113441,28514.42969
113442,150452.5469
113443,177115.8906
113444,136239.0781
113445,143362.5781
113446,18398.05273
113447,35802.45313
113448,40920.00391
113449,117627.7344
113450,198982.4375
113451,38148.93359
113452,168732.75
113453,129637.6484
113454,254302.6563
113455,46388.37891
113456,30944.69531
113457,55959.54297
113458,164916.7031
113459,35484.75
113460,35831.90234
113461,9398.65332
113462,28670.43164
113463,15241.22266
113464,73098.66406
113465,-14625.59961
113466,50779.05859
113467,33774.72266
113468,144651.6875
113469,28349.79883
113470,34842.30859
113471,31460.66602
113472,689603.9375
113473,524647
113474,52604.89453
113475,132059.9688
113476,67406.78125
113477,114051.3438
113478,326895.125
113479,202355.125
113480,175188.5938
113481,290427.75
113482,68754.125
113483,7395.604004
113484,79513.76563
113485,88910.46094
113486,22547.70313
113487,87832.0625
113488,22749.29102
113489,155807.2188
113490,113100.9453
113491,238632.125
113492,30585.13086
113493,113161.3438
113494,87277.03125
113495,178843.5938
113496,67011.39844
113497,168694.9063
113498,53941.625
113499,25297.42773
113500,76602.15625
113501,64508.85547
113502,87519.44531
113503,19791.14258
113504,211757.1094
113505,36665.51563
113506,-10568.7041
113507,111061.1719
113508,216608.0156
113509,27189.81055
113510,247846.4219
113511,82005.96875
113512,44875.23047
113513,55423.59375
113514,101970.9219
113515,29272.80664
113516,309636.7813
113517,4624.910156
113518,76368.91406
113519,173348
113520,310505.5938
113521,246292.9531
113522,34141.67578
113523,92222.875
113524,76844.78906
113525,115490.4688
113526,40884.08594
113527,56009.62109
113528,50130.58594
113529,9716.652344
113530,84381.51563
113531,188300.0938
113532,36877.16016
113533,134594.3594
113534,322538.0313
113535,65062.17188
113536,82633.35156
113537,72105.02344
113538,127861.1953
113539,31121.22852
113540,79687.90625
113541,19289.21484
113542,488099.5938
113543,3696.812744
113544,65577.67188
113545,122361.0469
113546,160919.9375
113547,38283.67969
113548,70449.14063
113549,62071.39453
113550,33390.8125
113551,28641.36914
113552,88502.07031
113553,101092.8047
113554,394401.3125
113555,106859.1094
113556,89692.53906
113557,41231.21875
113558,25531.0293
113559,301043.4375
113560,55321.40625
